Year,Date,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_list,CensusBlockID_list
2019,12/06/2019,12 PM,91.0,1,9100,Census Tract 91,Westchester County,[361190091002008],[2008]
2019,12/06/2019,12 PM,16.0,1,1600,Census Tract 16,Westchester County,[361190016004011],[4011]
2019,12/06/2019,02 PM,67.0,1,6700,Census Tract 67,Westchester County,[361190067003043],[3043]
2019,12/06/2019,03 PM,76.0,1,7600,Census Tract 76,Westchester County,[361190076003007],[3007]
2019,12/07/2019,01 AM,104.0,1,10400,Census Tract 104,Westchester County,[361190104003010],[3010]
2019,12/07/2019,02 AM,64.0,1,6400,Census Tract 64,Westchester County,[361190064001006],[1006]
2019,12/07/2019,11 AM,123.01,1,12301,Census Tract 123.01,Westchester County,[361190123011025],[1025]
2018,05/14/2018,08 PM,63.0,1,6300,Census Tract 63,Bronx County,[360050063002031],[2031]
2019,04/10/2019,01 PM,319.0,1,31900,Census Tract 319,Bronx County,[360050319001006],[1006]
2019,06/23/2019,10 AM,77.0,1,7700,Census Tract 77,Bronx County,[360050077001006],[1006]
2019,07/20/2019,10 AM,398.0,1,39800,Census Tract 398,Bronx County,[360050398003001],[3001]
2019,09/16/2019,01 PM,72.0,1,7200,Census Tract 72,Bronx County,[360050072001003],[1003]
2019,09/19/2019,10 AM,35.0,1,3500,Census Tract 35,Bronx County,[360050035003000],[3000]
2019,10/10/2019,11 AM,63.0,1,6300,Census Tract 63,Bronx County,[360050063001004],[1004]
2019,10/14/2019,01 PM,79.0,1,7900,Census Tract 79,Bronx County,[360050079001004],[1004]
2019,11/26/2019,02 PM,1417.0,1,141700,Census Tract 1417,Queens County,[360811417001000],[1000]
2019,11/30/2019,10 AM,1417.0,1,141700,Census Tract 1417,Queens County,[360811417001000],[1000]
2019,10/20/2019,10 AM,403.03,1,40303,Census Tract 403.03,Bronx County,[360050403033001],[3001]
2019,11/03/2019,09 AM,237.02,1,23702,Census Tract 237.02,Bronx County,[360050237021001],[1001]
2019,11/11/2019,09 AM,63.0,1,6300,Census Tract 63,Bronx County,[360050063001004],[1004]
2019,11/14/2019,01 PM,351.0,1,35100,Census Tract 351,Bronx County,[360050351001000],[1000]
2019,11/14/2019,01 PM,143.0,1,14300,Census Tract 143,Bronx County,[360050143001006],[1006]
2019,11/18/2019,10 AM,462.01,1,46201,Census Tract 462.01,Bronx County,[360050462014000],[4000]
2019,11/18/2019,01 PM,318.0,1,31800,Census Tract 318,Bronx County,[360050318002008],[2008]
2019,11/26/2019,10 AM,222.0,1,22200,Census Tract 222,Bronx County,[360050222001003],[1003]
2019,12/05/2019,11 AM,516.0,1,51600,Census Tract 516,Bronx County,[360050516001016],[1016]
2019,12/06/2019,11 AM,385.0,1,38500,Census Tract 385,Bronx County,[360050385002001],[2001]
2019,12/06/2019,02 PM,267.02,1,26702,Census Tract 267.02,Bronx County,[360050267021001],[1001]
2019,12/07/2019,12 PM,28.0,1,2800,Census Tract 28,Bronx County,[360050028001010],[1010]
2019,12/07/2019,11 PM,297.0,1,29700,Census Tract 297,Bronx County,[360050297001005],[1005]
2019,05/09/2019,08 AM,68.0,1,6800,Census Tract 68,New York County,[360610068001000],[1000]
2019,11/27/2019,10 AM,34.0,1,3400,Census Tract 34,New York County,[360610034004001],[4001]
2019,12/08/2019,09 AM,32.0,1,3200,Census Tract 32,New York County,[360610032004000],[4000]
2019,12/08/2019,10 AM,16.0,1,1600,Census Tract 16,New York County,[360610016001002],[1002]
2019,12/08/2019,12 PM,39.0,1,3900,Census Tract 39,New York County,[360610039001017],[1017]
2019,12/09/2019,12 AM,14.02,1,1402,Census Tract 14.02,New York County,[360610014022006],[2006]
2019,12/09/2019,08 AM,47.0,1,4700,Census Tract 47,New York County,[360610047002010],[2010]
2019,12/09/2019,02 PM,152.0,1,15200,Census Tract 152,New York County,[360610152005000],[5000]
2019,12/10/2019,03 PM,89.0,1,8900,Census Tract 89,New York County,[360610089002001],[2001]
2019,12/08/2019,10 AM,1347.0,1,134700,Census Tract 1347,Queens County,[360811347001002],[1002]
2019,12/08/2019,07 PM,1291.02,1,129102,Census Tract 1291.02,Queens County,[360811291024004],[4004]
