,Geoid,Winter_ReportCount_ConEd,Winter_ReportCount_NYFD,CountyName,CensusTract
442,36081120700,1.0,,Queens County,1207.0
443,36081118900,1.0,,Queens County,1189.0
444,36081109700,1.0,,Queens County,1097.0
445,36081105900,1.0,,Queens County,1059.0
446,36081085900,3.0,,Queens County,859.0
447,36081079900,1.0,,Queens County,799.0
448,36081054200,2.0,,Queens County,542.0
449,36081041400,1.0,,Queens County,414.0
450,36081018101,1.0,,Queens County,181.01
451,36061023300,1.0,,New York County,233.0
452,36061018400,1.0,,New York County,184.0
453,36061017700,1.0,,New York County,177.0
454,36061015200,1.0,,New York County,152.0
455,36061014500,1.0,,New York County,145.0
456,36061013900,1.0,,New York County,139.0
457,36061011800,1.0,,New York County,118.0
458,36061010100,1.0,,New York County,101.0
459,36061009500,1.0,,New York County,95.0
460,36061009100,1.0,,New York County,91.0
461,36061008900,2.0,,New York County,89.0
462,36061008200,1.0,,New York County,82.0
463,36061007700,1.0,,New York County,77.0
464,36061005800,2.0,,New York County,58.0
465,36061003700,1.0,,New York County,37.0
466,36061003001,2.0,,New York County,30.01
467,36005044800,1.0,,Bronx County,448.0
468,36005044400,1.0,,Bronx County,444.0
469,36005041400,1.0,,Bronx County,414.0
470,36005040600,1.0,,Bronx County,406.0
471,36005038200,1.0,,Bronx County,382.0
472,36005038000,1.0,,Bronx County,380.0
473,36005037100,1.0,,Bronx County,371.0
474,36005032800,1.0,,Bronx County,328.0
475,36005027300,2.0,,Bronx County,273.0
476,36005026702,1.0,,Bronx County,267.02
477,36005023702,1.0,,Bronx County,237.02
478,36005022902,1.0,,Bronx County,229.02
479,36005008700,1.0,,Bronx County,87.0
480,36005007200,2.0,,Bronx County,72.0
481,36005004001,1.0,,Bronx County,40.01
482,36005000400,1.0,,Bronx County,4.0
