,TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTrack,CensusBlock,CountyName
205,WL19013950,40.97937,-73.67841999999999,10580,M,11/21/2019 11:58 PM,76,6001,Westchester County
206,WL19013973,40.910509999999995,-73.8876,10705,M,11/22/2019 10:52 AM,13.02,3000,Westchester County
207,WL19014004,41.016659999999995,-73.6852,10573,M,11/23/2019 10:44 AM,83.02,4007,Westchester County
208,WL19014022,41.20945,-73.73165,10549,M,11/23/2019 05:19 PM,130,4026,Westchester County
209,WL19014155,41.07208,-73.8589,10591,M,11/25/2019 03:14 PM,114.01,4018,Westchester County
210,WL19014157,40.91388,-73.87859,10705,M,11/25/2019 03:28 PM,14.02,2005,Westchester County
211,WL19014191,40.94996,-73.84873,10710,M,11/26/2019 07:55 AM,22.03,2004,Westchester County
212,WL19014202,41.13303,-73.83628,10510,M,11/26/2019 10:18 AM,132.01,2036,Westchester County
213,WL19014203,41.18998,-73.87127,10562,M,11/26/2019 10:19 AM,137,1000,Westchester County
214,WL19014222,40.93555,-73.79224,10804,M,11/26/2019 12:58 PM,67,3043,Westchester County
215,WL19014235,41.00196,-73.87563,10706,M,11/26/2019 03:07 PM,102,1006,Westchester County
216,WL19014309,40.97699,-73.77547,10583,M,11/28/2019 11:12 AM,68.01,2003,Westchester County
217,WL19014447,40.96816,-73.80989,10709,M,12/03/2019 08:31 AM,50.02,2011,Westchester County
218,WL19014479,40.99915,-73.88165,10706,M,12/03/2019 05:07 PM,103,1004,Westchester County
219,WL19014493,40.9707,-73.78125,10804,M,12/04/2019 09:10 AM,68.01,3009,Westchester County
220,WL19014498,40.94871,-73.69171,10580,M,12/04/2019 10:28 AM,76,2005,Westchester County
221,WL19014500,40.973279999999995,-73.72162,10528,M,12/04/2019 10:51 AM,84.03,1010,Westchester County
222,WL19014504,41.00721,-73.87921999999999,10522,P,12/04/2019 11:37 AM,104,3010,Westchester County
223,WL19014544,40.98336,-73.72174,10528,M,12/04/2019 10:08 PM,85,1033,Westchester County
224,WL19014549,40.90574,-73.79281,10801,M,12/05/2019 08:40 AM,61,3000,Westchester County
225,WL19014551,41.12853,-73.70273,10504,M,12/05/2019 09:04 AM,123.03,1007,Westchester County
226,WL19014570,40.974140000000006,-73.8356,10710,P,12/05/2019 01:18 PM,21.01,3008,Westchester County
227,WL19014571,40.94811,-73.77764,10804,M,12/05/2019 01:49 PM,67,1008,Westchester County
228,WL19014586,41.3222,-73.77897,10598,P,12/06/2019 07:10 AM,148.11,4005,Westchester County
229,WL19014611,40.99713,-73.88283,10706,M,12/06/2019 11:33 AM,103,1004,Westchester County
230,WL19014613,41.02965,-73.78623,10606,P,12/06/2019 12:02 PM,91,2008,Westchester County
231,WL19014614,40.94466,-73.8804,10701,M,12/06/2019 12:03 PM,16,4011,Westchester County
232,WL19014623,40.935829999999996,-73.79234,10804,M,12/06/2019 02:06 PM,67,3043,Westchester County
233,WL19014631,40.9607,-73.68753000000001,10580,P,12/06/2019 03:42 PM,76,3007,Westchester County
234,WL19014643,41.00759,-73.87917,10522,M,12/07/2019 01:08 AM,104,3010,Westchester County
235,WL19014644,40.92131,-73.78979,10801,M,12/07/2019 02:23 AM,64,1006,Westchester County
236,WL19014656,41.0644,-73.76751,10603,P,12/07/2019 11:02 AM,123.01,1025,Westchester County
237,XL18005966,40.81532,-73.9306,10451,M,05/14/2018 08:33 PM,63.01,2036,Bronx County
238,XL19004681,40.91124,-73.9063,10471,M,04/10/2019 01:59 PM,319,1006,Bronx County
239,XL19007996,40.81922,-73.90442,10456,M,06/23/2019 10:03 AM,77,1006,Bronx County
240,XL19009240,40.883790000000005,-73.85306,10466,M,07/20/2019 10:18 AM,398,3001,Bronx County
241,XL19011962,40.82997,-73.86012,10472,P,09/16/2019 01:48 PM,72,1003,Bronx County
242,XL19012109,40.8114,-73.90679,10455,M,09/19/2019 10:57 AM,35,3000,Bronx County
243,XL19013105,40.827659999999995,-73.92604,10451,P,10/10/2019 11:45 AM,63.02,1004,Bronx County
244,XL19013278,40.81713,-73.90507,10455,M,10/14/2019 01:07 PM,79,1004,Bronx County
245,QL19008987,40.75049,-73.79308,11358,P,11/26/2019 02:38 PM,1417,1000,Queens County
246,QL19009072,40.75049,-73.79308,11358,P,11/30/2019 10:40 AM,1417,1000,Queens County
247,XL19013544,40.868970000000004,-73.89477,10468,M,10/20/2019 10:08 AM,403.03,3001,Bronx County
248,XL19014233,40.86115,-73.89699999999999,10458,M,11/03/2019 09:25 AM,237.02,1001,Bronx County
249,XL19014574,40.82747,-73.92616,10451,M,11/11/2019 09:03 AM,63.02,1004,Bronx County
250,XL19014737,40.88971,-73.90279,10471,M,11/14/2019 01:23 PM,351,1000,Bronx County
251,XL19014738,40.82863,-73.91141,10456,M,11/14/2019 01:30 PM,143,1006,Bronx County
252,XL19014924,40.87637,-73.82428,10475,M,11/18/2019 10:49 AM,462.03,4000,Bronx County
253,XL19014937,40.858470000000004,-73.8525,10469,M,11/18/2019 01:56 PM,318,2008,Bronx County
254,XL19015393,40.83763,-73.85384,10462,M,11/26/2019 10:08 AM,222,1003,Bronx County
255,XL19015764,40.85045,-73.7844,10464,M,12/05/2019 11:04 AM,516.01,1016,Bronx County
256,XL19015808,40.85629,-73.89372,10458,P,12/06/2019 11:07 AM,385,2001,Bronx County
257,XL19015830,40.87243,-73.89894,10468,M,12/06/2019 02:31 PM,267.02,1001,Bronx County
258,XL19015874,40.82285,-73.87933000000001,10473,P,12/07/2019 12:24 PM,28,1010,Bronx County
259,XL19015893,40.88796,-73.90938,10463,P,12/07/2019 11:02 PM,297,1005,Bronx County
260,ML19007215,40.74306,-73.9842,10016,P,05/09/2019 08:43 AM,68,1000,New York County
261,ML19018780,40.73065,-73.98306,10009,P,11/27/2019 10:06 AM,34,4001,New York County
262,ML19019323,40.72398,-73.98605,10009,M,12/08/2019 09:32 AM,32,4000,New York County
263,ML19019325,40.716390000000004,-73.9948,10002,P,12/08/2019 10:05 AM,16,1002,New York County
264,ML19019328,40.722159999999995,-74.01168,10013,M,12/08/2019 12:21 PM,39,2000,New York County
265,ML19019360,40.71669,-73.9863,10002,P,12/09/2019 12:26 AM,14.02,2006,New York County
266,ML19019364,40.722559999999994,-74.00142,10013,P,12/09/2019 08:52 AM,47,2010,New York County
267,ML19019382,40.7781,-73.94555,10128,M,12/09/2019 02:57 PM,152,5000,New York County
268,ML19019440,40.74263,-74.00043000000001,10011,P,12/10/2019 03:58 PM,89,2001,New York County
269,QL19009326,40.739309999999996,-73.78566000000002,11365,M,12/08/2019 10:32 AM,1347.01,1002,Queens County
270,QL19009332,40.73488,-73.74941,11427,P,12/08/2019 07:55 PM,1291.02,4005,Queens County
271,QL19009334,40.742090000000005,-73.77583,11365,M,12/08/2019 08:50 PM,1347.02,2001,Queens County
272,QL19009338,40.73057,-73.72516999999999,11426,P,12/09/2019 08:37 AM,1621,1001,Queens County
